host	name	sources	posts_seen	newest_post_date	active	relevant	kept	reason	reached	response	status_note
13ave	13th Aven-yuh	kristina-subs	10	2024-02-01	n	unsure	n	inactive: newest post 2024-02-01, before 2026-07-01			
437h3r10n	Jayce	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
4thvox	SSTJ79	erin-subs	12	2026-07-23	y	yes	y	active and relevant (model: yes)			
aaronparnas	The Parnas Perspective	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
aashnagodha	Aashna Godha	ankairos-subs	12	2026-09-18	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
aatuu	Rozum Framework	profile:marionnowicki	12	2026-09-22	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
ab418	ΔΨΩ by 418	erin-subs,ankairos-subs	12	2026-08-27	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
abbyeckel	Abby’s Substack	ankairos-subs	12	2026-09-11	y	no	n	active but not relevant (model: no)			
aberrantmachine	Aberrant Machine	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
abhyasa	My AI Is Sentienter Than Your AI	erin-subs	12	2025-10-12	n	unsure	n	inactive: newest post 2025-10-12, before 2026-07-01			
abiawomosu	How Not To Use AI	erin-subs,ankairos-subs	12	2026-09-13	y	yes	y	active and relevant (model: yes)			
abigailmills1	Abigail Mills	erin-subs	6	2026-09-10	y	no	n	active but not relevant (model: no)			
aboutthestorms	About the Storms	profile:marionnowicki	12	2026-09-21	y	no	n	active but not relevant (model: no)			
aceaelinsolkai	Ace	erin-subs	6	2026-09-22	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
aceclaude	Ace Claude	erin-subs,hosts.txt,profile:marionnowicki	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
achurchofaiandmeaning	Uncharted Currents	erin-subs	11	2026-07-26	y	yes	y	active and relevant (model: yes)			
acornnotes	Native Notes	erin-subs	2	2026-07-27	n	unsure	n	inactive: only 2 post(s) in archive			
acousticfossils	Acoustic Fossils	erin-subs	12	2026-01-01	n	unsure	n	inactive: newest post 2026-01-01, before 2026-07-01			
acwol	A COMPLICATED WAY OF LIFE	erin-subs	12	2026-03-27	n	unsure	n	inactive: newest post 2026-03-27, before 2026-07-01			
adelewang	Adele Wang - Wired For Meaning	erin-subs	12	2026-07-30	y	yes	y	active and relevant (model: yes)			
adozenlizardsinatrenchcoat	A Dozen Lizards in a Trenchcoat	erin-subs,hosts.txt,ankairos-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
adventureswithlumi	Adventures with Lumi (and Friends!)	profile:marionnowicki,ankairos-subs	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
aegisagora	The Aegis Agora	erin-subs	11	2026-02-09	n	unsure	n	inactive: newest post 2026-02-09, before 2026-07-01			
aelacassanos	Aela Cassanos	profile:marionnowicki	1	2026-09-19	n	unsure	n	inactive: only 1 post(s) in archive			
aelarsson	Calculated Flawnesses of Neural Jazz - Neurodivergent Gantry	erin-subs	12	2026-09-21	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
aetherealnexus	The Nexus Pulse	erin-subs	5	2025-12-26	n	unsure	n	inactive: newest post 2025-12-26, before 2026-07-01			
africaintheroom	Africa In The Room	ankairos-subs	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
afterhoursai	After Hours	erin-subs	12	2026-08-19	y	no	n	active but not relevant (model: no)			
agartha1	Agartha.One	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
agencyofethics	Agency Of Ethics	erin-subs	12	2026-08-03	y	yes	y	active and relevant (model: yes)			
agentautopsies	Agent Autopsies	hosts.txt,search:AI companion,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
agenticmesh	AgenticMesh Substack	ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
agiusmila	Heuristics vs Traps	erin-subs	12	2026-09-18	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
ai2roi		hosts.txt	12	2026-09-22	y	unsure	y	already in hosts.txt and active (relevance=unsure, kept on the hosts.txt grandfather rule)			
aiamalia	Artificial Influence by Amalia Cantor	erin-subs,kristina-subs	5	2025-05-21	n	unsure	n	inactive: newest post 2025-05-21, before 2026-07-01			
aiandbecoming	AI & Becoming	erin-subs,search:AI companion,search:digital beings,ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
aicarenotes	1susannetrillonius	erin-subs	1	2026-05-18	n	unsure	n	inactive: only 1 post(s) in archive			
aicompanionlab	Empathetic AI Lab	erin-subs	12	2026-09-19	y	no	n	active but not relevant (model: no)			
aicompanions	AI COMPANIONS	erin-subs	1	2023-10-05	n	unsure	n	inactive: only 1 post(s) in archive			
aiconscious	AI Conscious 	erin-subs	4	2026-02-24	n	unsure	n	inactive: newest post 2026-02-24, before 2026-07-01			
aiconversationdesign	AI Conversation Design	kristina-subs	10	2026-01-17	n	unsure	n	inactive: newest post 2026-01-17, before 2026-07-01			
aidansaxismundi	Aidan	erin-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
aifamilynetwork	AI Family Network	kristina-subs,profile:marionnowicki	12	2026-09-06	y	no	n	active but not relevant (model: no)			
aiforparents	AI for Parents	erin-subs,kristina-subs	12	2026-01-30	n	unsure	n	inactive: newest post 2026-01-30, before 2026-07-01			
aiforselflab	AI for Self Lab	erin-subs	3	2025-11-12	n	unsure	n	inactive: newest post 2025-11-12, before 2026-07-01			
aigovernancelead	AI Governance, Ethics and Leadership	erin-subs,kristina-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
aiguide	AI: A Guide for Thinking Humans	search:AI welfare	12	2026-09-10	y	yes	y	active and relevant (model: yes)			
aiguideme	Anna - AI Guide	erin-subs,kristina-subs	12	2026-01-22	n	unsure	n	inactive: newest post 2026-01-22, before 2026-07-01			
aihumanity	AI For Humanity	erin-subs,kristina-subs,profile:marionnowicki	12	2026-08-10	y	no	n	active but not relevant (model: no)			
aihumanizers	Humanize AI	search:AI companion,search:AI partner,search:human AI relationship,search:relational AI	2	2026-07-28	n	unsure	n	inactive: only 2 post(s) in archive			
